epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.79444,1.08894,0.6551,1,1.12374,0.000236183,0.000236183,0.000236183
2,9.99391,0.7724,0.7346,1,1.07324,0.000464794,0.000464794,0.000464794
3,14.068,0.73107,0.75476,1,1.03767,0.000683981,0.000683981,0.000683981
4,18.0776,0.70026,0.7514,1,1.03076,0.000671588,0.000671588,0.000671588
5,22.1281,0.62843,0.78835,1,0.99651,0.000657451,0.000657451,0.000657451
6,26.1512,0.6095,0.77044,1,1.00778,0.000643314,0.000643314,0.000643314
7,30.0811,0.56741,0.81299,1,0.97726,0.000629177,0.000629177,0.000629177
8,34.1235,0.53634,0.77828,1,0.98863,0.00061504,0.00061504,0.00061504
9,38.1969,0.51134,0.81187,1,0.97806,0.000600902,0.000600902,0.000600902
10,42.2272,0.48933,0.81859,1,0.95832,0.000586765,0.000586765,0.000586765
11,46.2397,0.4786,0.82083,1,0.95222,0.000572628,0.000572628,0.000572628
12,50.2182,0.44482,0.83987,1,0.94427,0.000558491,0.000558491,0.000558491
13,54.1344,0.43416,0.82419,1,0.9495,0.000544354,0.000544354,0.000544354
14,58.1675,0.39708,0.84658,1,0.92491,0.000530216,0.000530216,0.000530216
15,62.2379,0.37013,0.85554,1,0.91504,0.000516079,0.000516079,0.000516079
16,66.3158,0.36541,0.84434,1,0.91999,0.000501942,0.000501942,0.000501942
17,70.429,0.36284,0.85106,1,0.912,0.000487805,0.000487805,0.000487805
18,74.4125,0.31964,0.85666,1,0.91448,0.000473668,0.000473668,0.000473668
19,78.4108,0.30676,0.86226,1,0.89858,0.00045953,0.00045953,0.00045953
20,82.3188,0.30709,0.84994,1,0.9006,0.000445393,0.000445393,0.000445393
21,86.38,0.28149,0.85554,1,0.90025,0.000431256,0.000431256,0.000431256
22,90.3436,0.29506,0.85218,1,0.90967,0.000417119,0.000417119,0.000417119
23,94.3534,0.27284,0.86562,1,0.89624,0.000402982,0.000402982,0.000402982
24,98.301,0.2617,0.87122,1,0.89076,0.000388844,0.000388844,0.000388844
25,102.227,0.24332,0.86002,1,0.88947,0.000374707,0.000374707,0.000374707
26,106.142,0.23776,0.8645,1,0.88417,0.00036057,0.00036057,0.00036057
27,110.091,0.23425,0.8701,1,0.8811,0.000346433,0.000346433,0.000346433
28,114.073,0.2357,0.8813,1,0.87845,0.000332296,0.000332296,0.000332296
29,118.148,0.21915,0.87122,1,0.88103,0.000318158,0.000318158,0.000318158
30,122.213,0.21657,0.88018,1,0.8705,0.000304021,0.000304021,0.000304021
31,126.211,0.20433,0.88578,1,0.86872,0.000289884,0.000289884,0.000289884
32,130.182,0.19226,0.88242,1,0.8644,0.000275747,0.000275747,0.000275747
33,134.113,0.18663,0.8981,1,0.86014,0.00026161,0.00026161,0.00026161
34,138.061,0.18061,0.89474,1,0.84989,0.000247472,0.000247472,0.000247472
35,142.014,0.17471,0.89474,1,0.85031,0.000233335,0.000233335,0.000233335
36,145.977,0.16528,0.90482,1,0.85303,0.000219198,0.000219198,0.000219198
37,149.998,0.17354,0.8981,1,0.85411,0.000205061,0.000205061,0.000205061
38,154.048,0.1522,0.88242,1,0.86039,0.000190924,0.000190924,0.000190924
39,158.124,0.14855,0.89586,1,0.85236,0.000176786,0.000176786,0.000176786
40,162.335,0.15457,0.90705,1,0.8463,0.000162649,0.000162649,0.000162649
41,166.963,0.14257,0.90594,1,0.84964,0.000148512,0.000148512,0.000148512
42,171.044,0.1415,0.88914,1,0.85979,0.000134375,0.000134375,0.000134375
43,175.104,0.14461,0.89698,1,0.85428,0.000120238,0.000120238,0.000120238
44,179.121,0.14056,0.89586,1,0.85366,0.0001061,0.0001061,0.0001061
45,183.139,0.14172,0.89586,1,0.85038,9.19632e-05,9.19632e-05,9.19632e-05
46,187.258,0.14438,0.8981,1,0.84975,7.7826e-05,7.7826e-05,7.7826e-05
47,191.227,0.12222,0.90258,1,0.8464,6.36888e-05,6.36888e-05,6.36888e-05
48,195.206,0.12611,0.90594,1,0.84556,4.95516e-05,4.95516e-05,4.95516e-05
49,199.166,0.12734,0.9037,1,0.84535,3.54144e-05,3.54144e-05,3.54144e-05
50,203.133,0.11959,0.90817,1,0.84267,2.12772e-05,2.12772e-05,2.12772e-05
